,condition,competition_group,subgroup,electric_utility,gas_utility,building_type,measure_life_(yrs),initial_count,market,count,measure_name,sector,program,baseline_condition,efficient_condition,complementary_condition,electric_end_use,incremental_cost_(usd),annual_oandm_savings_(usd),annual_energy_saved_(kwh),water_savings_(gallons),energy_impact_1,energy_impact_1_fuel_type,energy_impact_1_units,energy_impact_2,energy_impact_2_fuel_type,energy_impact_2_units,energy_impact_3,energy_impact_3_fuel_type,energy_impact_3_units,energy_impact_1_end_use,energy_impact_2_end_use,energy_impact_3_end_use,measure_incremental_cost,demand_ratio,deferred_replacement_credit_value,measure_water_savings,measure_electric_energy_savings,measure_natural_gas_savings,measure_fuel_oil_savings,measure_propane_savings,measure_gasoline_savings,measure_diesel_savings,electric_energy_savings_value,electric_demand_savings_value,natural_gas_savings_value,fuel_oil_savings_value,propane_savings_value,diesel_transportation_savings_value,gasoline_transportation_savings_value,other_fuel_savings_value,annual_oandm_savings,o_and_m_savings_value,water_savings_value,electric_incentive_pct,natural_gas_incentive_pct,nonutility_incentive_pct,electric_utility_incentive_value,natural_gas_utility_incentive_value,nonutility_incentive_value,total_incentive_value,electric_utility_nonmeasure_program_cost,natural_gas_utility_nonmeasure_program_costs,nonutility_nonmeasure_program_costs,risk_discount_value,electric_carbon_savings_value,electric_n2o_savings_value,electric_ch4_savings_value,natural_gas_carbon_savings_value,fuel_oil_carbon_savings_value,propane_carbon_savings_value,diesel_transportation_carbon_savings_value,gasoline_transportation_carbon_savings_value,natural_gas_n2o_savings_value,fuel_oil_n2o_savings_value,propane_n2o_savings_value,diesel_transportation_n2o_savings_value,gasoline_transportation_n2o_savings_value,natural_gas_ch4_savings_value,fuel_oil_ch4_savings_value,propane_ch4_savings_value,diesel_transportation_ch4_savings_value,gasoline_transportation_ch4_savings_value,end_use_fuel_externalities,other_nonresource_benefits,electric_customer_bill_savings,natural_gas_customer_bill_savings,heating_oil_customer_bill_savings,EUCT_cost,EUCT_benefit,EUCT_BCR,GUCT_cost,GUCT_benefit,GUCT_BCR,EGUCT_cost,EGUCT_benefit,EGUCT_BCR,TRC_cost,TRC_benefit,TRC_BCR,SCT_cost,SCT_benefit,SCT_BCR,RIM_cost,RIM_benefit,RIM_BCR,PCT_cost,PCT_benefit,PCT_BCR
32,furnace_oil_efficient_residential,heating_cooling,oil_furnace,test_utility_1,none,multifamily,10,4700.0,ROB,470.0,furnace_oil_baseline_residential_to_furnace_oil_efficient_residential,residential,NLIRROB,furnace_oil_baseline_residential,furnace_oil_efficient_residential,,,700.0,0.0,715.0,0.0,180.0,natural_gas,therms,67.5,electricity,kWh,,,,,,,700.0,0.03424657534246575,1.0,0.0,67.5,180.0,0.0,0.0,0.0,0.0,32.34173656861666,155.19126086581983,7864.447584133459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,210.0,210.0,210.0,14.02,45.534816105203184,0.09667841865456976,2.4353286342564213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.066823158114175,0.25590608510327484,118.61247044536792,17807.685562864568,0.0,560.0,187.53299743443648,0.33488035256149373,560.0,7864.447584133459,14.04365640023832,1120.0,8051.980581567895,7.189268376399906,1680.0,8067.256487653,4.8019383855077376,1680.0,8163.390133969228,4.859160794029303,1238.6124704453678,8611.980581567896,6.952925783535254,700.0,9221.848958098366,13.174069940140523
33,furnace_oil_baseline_residential,heating_cooling,oil_furnace,test_utility_1,test_utility_1,multifamily,10,1250.0,ROB,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,furnace_oil_baseline_residential,heating_cooling,oil_furnace,test_utility_1,test_utility_2,multifamily,10,2500.0,ROB,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,furnace_oil_baseline_residential,heating_cooling,oil_furnace,test_utility_1,none,multifamily,10,2350.0,ROB,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,furnace_oil_existing_residential,heating_cooling,oil_furnace,test_utility_1,test_utility_1,multifamily,10,1250.0,ROB,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,furnace_oil_existing_residential,heating_cooling,oil_furnace,test_utility_1,test_utility_2,multifamily,10,2500.0,ROB,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,furnace_oil_existing_residential,heating_cooling,oil_furnace,test_utility_1,none,multifamily,10,2350.0,ROB,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,furnace_natural_gas_efficient_residential,heating_cooling,gas_furnace,test_utility_1,test_utility_1,multifamily,10,2500.0,ROB,250.0,furnace_natural_gas_baseline_residential_to_furnace_natural_gas_efficient_residential,residential,NLIRROB,furnace_natural_gas_baseline_residential,furnace_natural_gas_efficient_residential,,,700.0,0.0,715.0,0.0,180.0,natural_gas,therms,67.5,electricity,kWh,,,,,,,700.0,0.03424657534246575,1.0,0.0,67.5,180.0,0.0,0.0,0.0,0.0,32.34173656861666,155.19126086581983,7864.447584133459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,210.0,210.0,210.0,14.02,45.534816105203184,0.09667841865456976,2.4353286342564213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.066823158114175,0.25590608510327484,118.61247044536792,17807.685562864568,0.0,560.0,187.53299743443648,0.33488035256149373,560.0,7864.447584133459,14.04365640023832,1120.0,8051.980581567895,7.189268376399906,1680.0,8067.256487653,4.8019383855077376,1680.0,8163.390133969228,4.859160794029303,1238.6124704453678,8611.980581567896,6.952925783535254,700.0,9221.848958098366,13.174069940140523
40,furnace_natural_gas_efficient_residential,heating_cooling,gas_furnace,test_utility_1,test_utility_2,multifamily,10,5000.0,ROB,500.0,furnace_natural_gas_baseline_residential_to_furnace_natural_gas_efficient_residential,residential,NLIRROB,furnace_natural_gas_baseline_residential,furnace_natural_gas_efficient_residential,,,700.0,0.0,715.0,0.0,180.0,natural_gas,therms,67.5,electricity,kWh,,,,,,,700.0,0.03424657534246575,1.0,0.0,67.5,180.0,0.0,0.0,0.0,0.0,32.34173656861666,155.19126086581983,7864.447584133459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,210.0,210.0,210.0,14.02,45.534816105203184,0.09667841865456976,2.4353286342564213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.066823158114175,8.786108921879103,118.61247044536792,17807.685562864568,0.0,560.0,187.53299743443648,0.33488035256149373,560.0,7864.447584133459,14.04365640023832,1120.0,8051.980581567895,7.189268376399906,1680.0,8075.7866904897755,4.807015887196295,1680.0,8171.920336806004,4.864238295717859,1238.6124704453678,8611.980581567896,6.952925783535254,700.0,9230.379160935141,13.186255944193059
41,furnace_natural_gas_efficient_residential,heating_cooling,gas_furnace,test_utility_1,none,multifamily,10,4700.0,ROB,470.0,furnace_natural_gas_baseline_residential_to_furnace_natural_gas_efficient_residential,residential,NLIRROB,furnace_natural_gas_baseline_residential,furnace_natural_gas_efficient_residential,,,700.0,0.0,715.0,0.0,180.0,natural_gas,therms,67.5,electricity,kWh,,,,,,,700.0,0.03424657534246575,1.0,0.0,67.5,180.0,0.0,0.0,0.0,0.0,32.34173656861666,155.19126086581983,7864.447584133459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,210.0,210.0,210.0,14.02,45.534816105203184,0.09667841865456976,2.4353286342564213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.066823158114175,0.25590608510327484,118.61247044536792,17807.685562864568,0.0,560.0,187.53299743443648,0.33488035256149373,560.0,7864.447584133459,14.04365640023832,1120.0,8051.980581567895,7.189268376399906,1680.0,8067.256487653,4.8019383855077376,1680.0,8163.390133969228,4.859160794029303,1238.6124704453678,8611.980581567896,6.952925783535254,700.0,9221.848958098366,13.174069940140523
42,furnace_natural_gas_baseline_residential,heating_cooling,gas_furnace,test_utility_1,test_utility_1,multifamily,10,1250.0,ROB,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,furnace_natural_gas_baseline_residential,heating_cooling,gas_furnace,test_utility_1,test_utility_2,multifamily,10,2500.0,ROB,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,furnace_natural_gas_baseline_residential,heating_cooling,gas_furnace,test_utility_1,none,multifamily,10,2350.0,ROB,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,furnace_natural_gas_existing_residential,heating_cooling,gas_furnace,test_utility_1,test_utility_1,multifamily,10,1250.0,ROB,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,furnace_natural_gas_existing_residential,heating_cooling,gas_furnace,test_utility_1,test_utility_2,multifamily,10,2500.0,ROB,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,furnace_natural_gas_existing_residential,heating_cooling,gas_furnace,test_utility_1,none,multifamily,10,2350.0,ROB,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,refrigerator_electricity_efficient_residential,refrigeration,full_size,test_utility_1,test_utility_1,multifamily,10,9000.0,ROB,900.0,refrigerator_electricity_efficient_residential_refrigerator_electricity_baseline_residential,residential,NLIRROB,refrigerator_electricity_baseline_residential,refrigerator_electricity_efficient_residential,,unknown,450.0,0.0,0.0,0.0,750.0,electricity,kWh,,,,,,,refrigeration,,,450.0,0.03424657534246575,1.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,359.35262854018515,1724.3473429535532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,225.0,225.0,225.0,675.0,135.0,135.0,135.0,9.02,505.94240116892433,1.0742046517174415,27.05920704729358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0758128679354,0.25590608510327484,1317.9163382818656,0.0,0.0,360.0,2083.6999714937383,5.788055476371495,360.0,0.0,0.0,720.0,2083.6999714937383,2.8940277381857475,1080.0,2093.9758775788414,1.9388665533137421,1080.0,3162.127503314712,2.927895836402511,2037.9163382818656,2443.6999714937383,1.1991169242766768,450.0,4077.872215860707,9.061938257468238
49,refrigerator_electricity_efficient_residential,refrigeration,full_size,test_utility_1,test_utility_2,multifamily,10,18000.0,ROB,1800.0,refrigerator_electricity_efficient_residential_refrigerator_electricity_baseline_residential,residential,NLIRROB,refrigerator_electricity_baseline_residential,refrigerator_electricity_efficient_residential,,unknown,450.0,0.0,0.0,0.0,750.0,electricity,kWh,,,,,,,refrigeration,,,450.0,0.03424657534246575,1.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,359.35262854018515,1724.3473429535532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,225.0,225.0,225.0,675.0,135.0,135.0,135.0,9.02,505.94240116892433,1.0742046517174415,27.05920704729358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0758128679354,8.786108921879103,1317.9163382818656,0.0,0.0,360.0,2083.6999714937383,5.788055476371495,360.0,0.0,0.0,720.0,2083.6999714937383,2.8940277381857475,1080.0,2102.5060804156174,1.9467648892737197,1080.0,3170.657706151488,2.935794172362489,2037.9163382818656,2443.6999714937383,1.1991169242766768,450.0,4086.402418697483,9.080894263772185
50,refrigerator_electricity_efficient_residential,refrigeration,full_size,test_utility_1,none,multifamily,10,16920.0,ROB,1692.0,refrigerator_electricity_efficient_residential_refrigerator_electricity_baseline_residential,residential,NLIRROB,refrigerator_electricity_baseline_residential,refrigerator_electricity_efficient_residential,,unknown,450.0,0.0,0.0,0.0,750.0,electricity,kWh,,,,,,,refrigeration,,,450.0,0.03424657534246575,1.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,359.35262854018515,1724.3473429535532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,225.0,225.0,225.0,675.0,135.0,135.0,135.0,9.02,505.94240116892433,1.0742046517174415,27.05920704729358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0758128679354,0.25590608510327484,1317.9163382818656,0.0,0.0,360.0,2083.6999714937383,5.788055476371495,360.0,0.0,0.0,720.0,2083.6999714937383,2.8940277381857475,1080.0,2093.9758775788414,1.9388665533137421,1080.0,3162.127503314712,2.927895836402511,2037.9163382818656,2443.6999714937383,1.1991169242766768,450.0,4077.872215860707,9.061938257468238
51,refrigerator_electricity_baseline_residential,refrigeration,full_size,test_utility_1,test_utility_1,multifamily,10,7500.0,ROB,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,refrigerator_electricity_baseline_residential,refrigeration,full_size,test_utility_1,test_utility_2,multifamily,10,15000.0,ROB,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,refrigerator_electricity_baseline_residential,refrigeration,full_size,test_utility_1,none,multifamily,10,14100.0,ROB,1410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,refrigerator_electricity_top10_residential,refrigeration,full_size,test_utility_1,test_utility_1,multifamily,10,7500.0,ROB,750.0,refrigerator_electricity_top10_residential_refrigerator_electricity_baseline_residential,residential,NLIRROB,refrigerator_electricity_baseline_residential,refrigerator_electricity_top10_residential,,unknown,750.0,0.0,0.0,0.0,1166.666666666667,electricity,kWh,,,,,,,refrigeration,,,750.0,0.03424657534246575,1.0,0.0,1166.666666666667,0.0,0.0,0.0,0.0,0.0,558.992977729177,2682.3180890388617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,375.0,375.0,375.0,1125.0,225.0,225.0,225.0,15.02,787.0215129294379,1.6709850137826874,42.09209985134557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.7845977945661,0.25590608510327484,2050.0920817717915,0.0,0.0,600.0,3241.3110667680385,5.4021851112800645,600.0,0.0,0.0,1200.0,3241.3110667680385,2.7010925556400323,1800.0,3257.5869728531416,1.8097705404739675,1800.0,4919.156168442274,2.7328645380234855,3250.0920817717915,3841.3110667680385,1.1819083798616385,750.0,6417.659054624934,8.556878739499911
55,refrigerator_electricity_top10_residential,refrigeration,full_size,test_utility_1,test_utility_2,multifamily,10,15000.0,ROB,1500.0,refrigerator_electricity_top10_residential_refrigerator_electricity_baseline_residential,residential,NLIRROB,refrigerator_electricity_baseline_residential,refrigerator_electricity_top10_residential,,unknown,750.0,0.0,0.0,0.0,1166.666666666667,electricity,kWh,,,,,,,refrigeration,,,750.0,0.03424657534246575,1.0,0.0,1166.666666666667,0.0,0.0,0.0,0.0,0.0,558.992977729177,2682.3180890388617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,375.0,375.0,375.0,1125.0,225.0,225.0,225.0,15.02,787.0215129294379,1.6709850137826874,42.09209985134557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.7845977945661,8.786108921879103,2050.0920817717915,0.0,0.0,600.0,3241.3110667680385,5.4021851112800645,600.0,0.0,0.0,1200.0,3241.3110667680385,2.7010925556400323,1800.0,3266.1171756899175,1.8145095420499542,1800.0,4927.68637127905,2.7376035395994722,3250.0920817717915,3841.3110667680385,1.1819083798616385,750.0,6426.1892574617095,8.56825234328228
56,refrigerator_electricity_top10_residential,refrigeration,full_size,test_utility_1,none,multifamily,10,14100.0,ROB,1410.0,refrigerator_electricity_top10_residential_refrigerator_electricity_baseline_residential,residential,NLIRROB,refrigerator_electricity_baseline_residential,refrigerator_electricity_top10_residential,,unknown,750.0,0.0,0.0,0.0,1166.666666666667,electricity,kWh,,,,,,,refrigeration,,,750.0,0.03424657534246575,1.0,0.0,1166.666666666667,0.0,0.0,0.0,0.0,0.0,558.992977729177,2682.3180890388617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,375.0,375.0,375.0,1125.0,225.0,225.0,225.0,15.02,787.0215129294379,1.6709850137826874,42.09209985134557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.7845977945661,0.25590608510327484,2050.0920817717915,0.0,0.0,600.0,3241.3110667680385,5.4021851112800645,600.0,0.0,0.0,1200.0,3241.3110667680385,2.7010925556400323,1800.0,3257.5869728531416,1.8097705404739675,1800.0,4919.156168442274,2.7328645380234855,3250.0920817717915,3841.3110667680385,1.1819083798616385,750.0,6417.659054624934,8.556878739499911
57,refrigerator_electricity_existing_residential,refrigeration,full_size,test_utility_1,test_utility_1,multifamily,10,6000.0,ROB,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,refrigerator_electricity_existing_residential,refrigeration,full_size,test_utility_1,test_utility_2,multifamily,10,12000.0,ROB,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,refrigerator_electricity_existing_residential,refrigeration,full_size,test_utility_1,none,multifamily,10,11280.0,ROB,1128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,furnace_oil_efficient_residential,heating_cooling,oil_furnace,test_utility_1,test_utility_1,single_family_li,10,500.0,ROB,50.0,furnace_oil_baseline_residential_to_furnace_oil_efficient_residential,residential,LIRROB,furnace_oil_baseline_residential,furnace_oil_efficient_residential,,,700.0,0.0,715.0,0.0,80.0,natural_gas,therms,30.0,electricity,kWh,,,,,,,700.0,0.03424657534246575,1.0,0.0,30.0,80.0,0.0,0.0,0.0,0.0,14.374105141607405,68.97389371814214,3495.310037392648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,210.0,210.0,210.0,14.02,20.23769604675697,0.04296818606869767,1.082368281891743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.36303251471741,0.25590608510327484,52.71665353127462,7914.526916828697,0.0,560.0,83.34799885974954,0.14883571224955275,560.0,3495.310037392648,6.241625066772586,1120.0,3578.658036252398,3.1952303895110696,1680.0,3593.933942337501,2.1392463942485125,1680.0,3636.6600073669356,2.164678575813652,1172.7166535312745,4138.658036252398,3.5291202046036494,700.0,4682.630595868775,6.689472279812536
61,furnace_oil_efficient_residential,heating_cooling,oil_furnace,test_utility_1,test_utility_2,single_family_li,10,2000.0,ROB,200.0,furnace_oil_baseline_residential_to_furnace_oil_efficient_residential,residential,LIRROB,furnace_oil_baseline_residential,furnace_oil_efficient_residential,,,700.0,0.0,715.0,0.0,80.0,natural_gas,therms,30.0,electricity,kWh,,,,,,,700.0,0.03424657534246575,1.0,0.0,30.0,80.0,0.0,0.0,0.0,0.0,14.374105141607405,68.97389371814214,3495.310037392648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,210.0,210.0,210.0,14.02,20.23769604675697,0.04296818606869767,1.082368281891743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.36303251471741,8.786108921879103,52.71665353127462,7914.526916828697,0.0,560.0,83.34799885974954,0.14883571224955275,560.0,3495.310037392648,6.241625066772586,1120.0,3578.658036252398,3.1952303895110696,1680.0,3602.464145174277,2.1443238959370694,1680.0,3645.1902102037116,2.169756077502209,1172.7166535312745,4138.658036252398,3.5291202046036494,700.0,4691.160798705551,6.701658283865073
62,furnace_oil_efficient_residential,heating_cooling,oil_furnace,test_utility_1,none,single_family_li,10,1900.0,ROB,190.0,furnace_oil_baseline_residential_to_furnace_oil_efficient_residential,residential,LIRROB,furnace_oil_baseline_residential,furnace_oil_efficient_residential,,,700.0,0.0,715.0,0.0,80.0,natural_gas,therms,30.0,electricity,kWh,,,,,,,700.0,0.03424657534246575,1.0,0.0,30.0,80.0,0.0,0.0,0.0,0.0,14.374105141607405,68.97389371814214,3495.310037392648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,210.0,210.0,210.0,14.02,20.23769604675697,0.04296818606869767,1.082368281891743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.36303251471741,0.25590608510327484,52.71665353127462,7914.526916828697,0.0,560.0,83.34799885974954,0.14883571224955275,560.0,3495.310037392648,6.241625066772586,1120.0,3578.658036252398,3.1952303895110696,1680.0,3593.933942337501,2.1392463942485125,1680.0,3636.6600073669356,2.164678575813652,1172.7166535312745,4138.658036252398,3.5291202046036494,700.0,4682.630595868775,6.689472279812536
63,furnace_oil_baseline_residential,heating_cooling,oil_furnace,test_utility_1,test_utility_1,single_family_li,10,250.0,ROB,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,furnace_oil_baseline_residential,heating_cooling,oil_furnace,test_utility_1,test_utility_2,single_family_li,10,1000.0,ROB,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,furnace_oil_baseline_residential,heating_cooling,oil_furnace,test_utility_1,none,single_family_li,10,950.0,ROB,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,furnace_oil_existing_residential,heating_cooling,oil_furnace,test_utility_1,test_utility_1,single_family_li,10,250.0,ROB,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,furnace_oil_existing_residential,heating_cooling,oil_furnace,test_utility_1,test_utility_2,single_family_li,10,1000.0,ROB,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,furnace_oil_existing_residential,heating_cooling,oil_furnace,test_utility_1,none,single_family_li,10,950.0,ROB,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,furnace_natural_gas_efficient_residential,heating_cooling,gas_furnace,test_utility_1,test_utility_1,single_family_li,10,500.0,ROB,50.0,furnace_natural_gas_baseline_residential_to_furnace_natural_gas_efficient_residential,residential,LIRROB,furnace_natural_gas_baseline_residential,furnace_natural_gas_efficient_residential,,,700.0,0.0,715.0,0.0,80.0,natural_gas,therms,30.0,electricity,kWh,,,,,,,700.0,0.03424657534246575,1.0,0.0,30.0,80.0,0.0,0.0,0.0,0.0,14.374105141607405,68.97389371814214,3495.310037392648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,210.0,210.0,210.0,14.02,20.23769604675697,0.04296818606869767,1.082368281891743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.36303251471741,0.25590608510327484,52.71665353127462,7914.526916828697,0.0,560.0,83.34799885974954,0.14883571224955275,560.0,3495.310037392648,6.241625066772586,1120.0,3578.658036252398,3.1952303895110696,1680.0,3593.933942337501,2.1392463942485125,1680.0,3636.6600073669356,2.164678575813652,1172.7166535312745,4138.658036252398,3.5291202046036494,700.0,4682.630595868775,6.689472279812536
